Port Name,Administrative Approach Rank,"Total
Points",Economy Label,Port Name.1,Statistic Approach Rank,IndeX Value,Economy Label.1,Period,Period Label,Year,Frequency,Frequency Label,Economy,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote
FORT-DE-FRANCE,122,28.535,France,DA CHAN BAY TERMINAL ONE,122,10.951,China,2021S01,S1   2021,2021,S,Semi-annual,251,7,Liquefied petroleum gas carriers,522,
FORT-DE-FRANCE,122,28.535,France,DA CHAN BAY TERMINAL ONE,122,10.951,China,2021S01,S1   2021,2021,S,Semi-annual,251,8,Liquefied natural gas carriers,141,
PAPEETE,167,14.229,France,HELSINGBORG,167,5.739,Sweden,2021S01,S1   2021,2021,S,Semi-annual,251,0,All ships,29840,
PAPEETE,167,14.229,France,HELSINGBORG,167,5.739,Sweden,2021S01,S1   2021,2021,S,Semi-annual,251,1,Passenger ships,17329,
PAPEETE,167,14.229,France,HELSINGBORG,167,5.739,Sweden,2021S01,S1   2021,2021,S,Semi-annual,251,2,Liquid bulk carriers,4046,
PAPEETE,167,14.229,France,HELSINGBORG,167,5.739,Sweden,2021S01,S1   2021,2021,S,Semi-annual,251,3,Container ships,2281,
PAPEETE,167,14.229,France,HELSINGBORG,167,5.739,Sweden,2021S01,S1   2021,2021,S,Semi-annual,251,4,Dry breakbulk carriers,3612,
PAPEETE,167,14.229,France,HELSINGBORG,167,5.739,Sweden,2021S01,S1   2021,2021,S,Semi-annual,251,5,Dry bulk carriers,826,
PAPEETE,167,14.229,France,HELSINGBORG,167,5.739,Sweden,2021S01,S1   2021,2021,S,Semi-annual,251,6,Roll-on/ roll-off ships,1083,
PAPEETE,167,14.229,France,HELSINGBORG,167,5.739,Sweden,2021S01,S1   2021,2021,S,Semi-annual,251,7,Liquefied petroleum gas carriers,522,
PAPEETE,167,14.229,France,HELSINGBORG,167,5.739,Sweden,2021S01,S1   2021,2021,S,Semi-annual,251,8,Liquefied natural gas carriers,141,
GUSTAVIA,197,8.136,France,BURGAS,197,3.072,Bulgaria,2021S01,S1   2021,2021,S,Semi-annual,251,0,All ships,29840,
