Port Name,Administrative Approach Rank,"Total
Points",Statistic Approach Rank,IndeX Value,Economy Label,Period,Period Label,Year,Frequency,Frequency Label,Economy,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote
PORT OF SPAIN,254,-5.624,252,-2.258,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,5,Dry bulk carriers,1542,
PORT OF SPAIN,254,-5.624,252,-2.258,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,6,Roll-on/ roll-off ships,2970,
PORT OF SPAIN,254,-5.624,252,-2.258,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,7,Liquefied petroleum gas carriers,647,
PORT OF SPAIN,254,-5.624,252,-2.258,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,8,Liquefied natural gas carriers,170,
SANTA CRUZ DE TENERIFE,71,58.835,88,19.591,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,0,All ships,53130,
SANTA CRUZ DE TENERIFE,71,58.835,88,19.591,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,1,Passenger ships,26286,
SANTA CRUZ DE TENERIFE,71,58.835,88,19.591,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,2,Liquid bulk carriers,7660,
SANTA CRUZ DE TENERIFE,71,58.835,88,19.591,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,3,Container ships,7367,
SANTA CRUZ DE TENERIFE,71,58.835,88,19.591,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,4,Dry breakbulk carriers,6488,
SANTA CRUZ DE TENERIFE,71,58.835,88,19.591,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,5,Dry bulk carriers,1542,
SANTA CRUZ DE TENERIFE,71,58.835,88,19.591,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,6,Roll-on/ roll-off ships,2970,
SANTA CRUZ DE TENERIFE,71,58.835,88,19.591,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,7,Liquefied petroleum gas carriers,647,
SANTA CRUZ DE TENERIFE,71,58.835,88,19.591,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,8,Liquefied natural gas carriers,170,
TARRAGONA,160,15.948,157,6.501,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,0,All ships,53130,
TARRAGONA,160,15.948,157,6.501,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,1,Passenger ships,26286,
TARRAGONA,160,15.948,157,6.501,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,2,Liquid bulk carriers,7660,
TARRAGONA,160,15.948,157,6.501,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,3,Container ships,7367,
TARRAGONA,160,15.948,157,6.501,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,4,Dry breakbulk carriers,6488,
TARRAGONA,160,15.948,157,6.501,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,5,Dry bulk carriers,1542,
TARRAGONA,160,15.948,157,6.501,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,6,Roll-on/ roll-off ships,2970,
TARRAGONA,160,15.948,157,6.501,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,7,Liquefied petroleum gas carriers,647,
TARRAGONA,160,15.948,157,6.501,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,8,Liquefied natural gas carriers,170,
VALENCIA,135,23.809,180,4.685,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,0,All ships,53130,
VALENCIA,135,23.809,180,4.685,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,1,Passenger ships,26286,
VALENCIA,135,23.809,180,4.685,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,2,Liquid bulk carriers,7660,
